NIVEL_ADMINISTRATIVO,GEO_COD,GEO_COD_DSG,POP_RESIDENTE_M,POP_RESIDENTE_F,POP_PRESENTE_M,POP_PRESENTE_F,POP_ATIVA_M,POP_ATIVA_F,POP_EMPREGADA_M,POP_EMPREGADA_F,POP_DESEMPREGADA_M,POP_DESEMPREGADA_F,TAXA_DESEMPREGO_M,TAXA_DESEMPREGO_F,POP_EMPREGADA_SET_PRIMARIO,POP_EMPREGADA_SET_SECUNDARIO,POP_EMPREGADA_SET_TERCIARIO,POP_DESEMPREGADA_PROC_1_EMP_M,POP_DESEMPREGADA_PROC_1_EMP_F,POP_DESEMPREGADA_PROC_NOVO_EMP_M,POP_DESEMPREGADA_PROC_NOVO_EMP_F,DENSIDADE_TOTAL,DENSIDADE_TOTAL_M,DENSIDADE_TOTAL_F,IDADE_MEDIA,M_0_14,M_15_24,M_25_64,M_65_74,M_75,F_0_14,F_15_24,F_25_64,F_65_74,F_75,COD_DISTRITO_INE,COD_CONCELHO_INE,COD_FREGUESIA_INE
6,140701,Chamusca,1603,1757,1538,1710,807,738,706,664,101,74,12.515000000000001,10.026999999999999,99,277,994,11,13,90,61,95.299999999999997,45.399999999999999,49.799999999999997,45.390000000000001,220,177,874,184,148,191,153,911,229,273,16,231,3103
6,141611,Casével,424,440,404,427,213,163,193,143,20,20,9.3900000000000006,12.27,39,101,196,4,4,16,16,26,12.800000000000001,13.199999999999999,48.399999999999999,45,36,232,58,53,41,38,220,68,73,16,241,3189
6,141612,Santarém (Marvila),4016,5028,3951,5095,1867,2066,1596,1843,271,223,14.515000000000001,10.794,143,415,2881,55,48,216,175,635.79999999999995,282.30000000000001,353.5,45.75,564,445,2103,507,397,549,525,2506,701,747,16,241,3198
6,141613,Moçarria,549,587,527,578,281,236,262,216,19,20,6.7620000000000005,8.4749999999999996,23,138,317,5,4,14,16,93.700000000000003,45.299999999999997,48.399999999999999,45.270000000000003,79,56,299,70,45,74,51,295,86,81,16,241,3191
6,141617,Póvoa de Santarém,342,366,330,359,166,120,141,112,25,8,15.06,6.6669999999999998,15,66,172,0,0,25,8,87.400000000000006,42.200000000000003,45.200000000000003,45.25,58,30,175,40,39,50,34,169,47,66,16,241,3195
6,141621,Santarém (São Salvador),4993,5520,4758,5411,2667,2864,2371,2581,296,283,11.099,9.8810000000000002,112,763,4077,53,64,243,219,885.89999999999998,420.69999999999999,465.10000000000002,38.890000000000001,936,585,2841,360,271,880,533,3199,448,460,16,241,3200
6,80501,Conceição,2267,2257,2189,2176,1229,1064,1022,922,207,142,16.843,13.346,216,397,1331,35,31,172,111,207.40000000000001,104,103.5,41.520000000000003,363,244,1290,206,164,336,247,1232,203,239,9,124,1766
6,80505,Faro (Sé),13796,15746,13374,15587,7299,7997,6220,7015,1079,982,14.782999999999999,12.279999999999999,317,1456,11462,191,196,888,786,482.10000000000002,225.09999999999999,257,41.909999999999997,2055,1516,7948,1268,1009,1982,1568,9144,1507,1545,9,124,1769
6,80606,Parchal,1983,2036,1823,1921,1111,1033,942,865,169,168,15.212,16.263000000000002,28,254,1525,17,22,152,146,1040.4000000000001,513.29999999999995,527.10000000000002,38.090000000000003,354,251,1150,137,91,366,220,1169,144,137,9,125,1776
6,80701,Barão de São João,448,447,457,452,214,157,173,130,41,27,19.158999999999999,17.196999999999999,15,68,220,6,4,35,23,17.300000000000001,8.5999999999999996,8.5999999999999996,45.100000000000001,59,40,262,40,47,59,44,248,52,44,9,126,1778
